period,platform,metric,value
2026-05,INSTAGRAM,TOP_POST_VIEWS,887700
2026-05,TIKTOK,FOLLOWERS,36249
2026-05,TIKTOK,FOLLOWER_GAIN,2120
2026-05,TIKTOK,POSTS,28
2026-05,TIKTOK,VIEWS,2731454
2026-05,TIKTOK,ENGAGEMENTS,233415
2026-05,TIKTOK,ENGAGEMENT_RATE,0.1004
2026-05,TIKTOK,TOP_POST_VIEWS,485566
2026-05,X,FOLLOWERS,24887
2026-05,X,FOLLOWER_GAIN,1041
2026-05,X,POSTS,70
2026-05,X,VIEWS,1854600
2026-05,X,ENGAGEMENTS,20229
2026-05,X,ENGAGEMENT_RATE,0.0112
2026-05,X,TOP_POST_VIEWS,354920
2026-05,YOUTUBE,FOLLOWERS,156339
2026-05,YOUTUBE,FOLLOWER_GAIN,3483
2026-05,YOUTUBE,POSTS,112
2026-05,YOUTUBE,VIEWS,2364971
2026-05,YOUTUBE,TOP_POST_VIEWS,222180
2026-05,FACEBOOK,FOLLOWERS,3777
2026-05,FACEBOOK,FOLLOWER_GAIN,3531
2026-05,FACEBOOK,POSTS,37
2026-05,FACEBOOK,VIEWS,1003087
2026-05,FACEBOOK,ENGAGEMENTS,17888
2026-05,FACEBOOK,ENGAGEMENT_RATE,0.0171
2026-05,FACEBOOK,TOP_POST_VIEWS,400875
2026-04,INSTAGRAM,FOLLOWERS,112471
2026-04,INSTAGRAM,FOLLOWER_GAIN,5124
2026-04,INSTAGRAM,POSTS,99
2026-04,INSTAGRAM,VIEWS,15653830
2026-04,INSTAGRAM,ENGAGEMENTS,361866
2026-04,INSTAGRAM,ENGAGEMENT_RATE,0.0573
2026-04,INSTAGRAM,TOP_POST_VIEWS,586551
2026-04,TIKTOK,FOLLOWERS,33847
2026-04,TIKTOK,FOLLOWER_GAIN,1611
2026-04,TIKTOK,POSTS,34
2026-04,TIKTOK,VIEWS,1773018
2026-04,TIKTOK,ENGAGEMENTS,98056
2026-04,TIKTOK,ENGAGEMENT_RATE,0.0705
2026-04,TIKTOK,TOP_POST_VIEWS,366500
2026-04,X,FOLLOWERS,23846
2026-04,X,FOLLOWER_GAIN,343
2026-04,X,POSTS,92
2026-04,X,VIEWS,952705
2026-04,X,ENGAGEMENTS,13730
2026-04,X,ENGAGEMENT_RATE,0.0146
2026-04,X,TOP_POST_VIEWS,91352
2026-04,YOUTUBE,FOLLOWERS,153000
2026-04,YOUTUBE,FOLLOWER_GAIN,4485
2026-04,YOUTUBE,POSTS,118
2026-04,YOUTUBE,VIEWS,3152267
2026-04,YOUTUBE,TOP_POST_VIEWS,359290
2026-03,INSTAGRAM,FOLLOWERS,107347
2026-03,INSTAGRAM,FOLLOWER_GAIN,4822
2026-03,INSTAGRAM,POSTS,92
2026-03,INSTAGRAM,VIEWS,7530100
2026-03,INSTAGRAM,ENGAGEMENTS,263613
2026-03,INSTAGRAM,ENGAGEMENT_RATE,0.0642
2026-03,INSTAGRAM,TOP_POST_VIEWS,1321647
2026-03,TIKTOK,FOLLOWERS,32440
2026-03,TIKTOK,FOLLOWER_GAIN,1787
2026-03,TIKTOK,POSTS,55
2026-03,TIKTOK,VIEWS,1998538
2026-03,TIKTOK,ENGAGEMENTS,92514
2026-03,TIKTOK,ENGAGEMENT_RATE,0.0643
2026-03,TIKTOK,TOP_POST_VIEWS,160700
2026-03,X,FOLLOWERS,23503
2026-03,X,FOLLOWER_GAIN,736
2026-03,X,POSTS,84
2026-03,X,VIEWS,1197699
2026-03,X,ENGAGEMENTS,25993
2026-03,X,ENGAGEMENT_RATE,0.0224
2026-03,X,TOP_POST_VIEWS,100265
2026-03,YOUTUBE,FOLLOWERS,149000
2026-03,YOUTUBE,FOLLOWER_GAIN,6502
2026-03,YOUTUBE,POSTS,134
2026-03,YOUTUBE,VIEWS,3372046
2026-03,YOUTUBE,TOP_POST_VIEWS,323526
2026-02,INSTAGRAM,FOLLOWERS,102490
2026-02,INSTAGRAM,FOLLOWER_GAIN,3981
2026-02,INSTAGRAM,POSTS,62
2026-02,INSTAGRAM,VIEWS,5719587
2026-02,INSTAGRAM,ENGAGEMENTS,414123
2026-02,INSTAGRAM,ENGAGEMENT_RATE,0.0803
2026-02,INSTAGRAM,TOP_POST_VIEWS,540101
2026-02,TIKTOK,FOLLOWERS,30553
2026-02,TIKTOK,FOLLOWER_GAIN,2396
2026-02,TIKTOK,POSTS,47
2026-02,TIKTOK,VIEWS,2644733
2026-02,TIKTOK,ENGAGEMENTS,260363
2026-02,TIKTOK,ENGAGEMENT_RATE,0.0906
2026-02,TIKTOK,TOP_POST_VIEWS,565700
2026-02,X,FOLLOWERS,22767
2026-02,X,FOLLOWER_GAIN,961
2026-02,X,POSTS,64
2026-02,X,VIEWS,920223
2026-02,X,ENGAGEMENTS,24119
2026-02,X,ENGAGEMENT_RATE,0.0269
2026-02,X,TOP_POST_VIEWS,128006
2026-02,YOUTUBE,FOLLOWERS,143000
2026-02,YOUTUBE,FOLLOWER_GAIN,3288
2026-02,YOUTUBE,POSTS,107
2026-02,YOUTUBE,VIEWS,2452727
2026-02,YOUTUBE,TOP_POST_VIEWS,248384
2026-01,INSTAGRAM,FOLLOWERS,98509
2026-01,INSTAGRAM,FOLLOWER_GAIN,4934
2026-01,INSTAGRAM,POSTS,56
2026-01,INSTAGRAM,VIEWS,5467827
2026-01,INSTAGRAM,ENGAGEMENTS,348450
2026-01,INSTAGRAM,ENGAGEMENT_RATE,0.0761
2026-01,INSTAGRAM,TOP_POST_VIEWS,2157207
2026-01,TIKTOK,FOLLOWERS,28050
2026-01,TIKTOK,FOLLOWER_GAIN,2415
2026-01,TIKTOK,POSTS,42
2026-01,TIKTOK,VIEWS,2361362
2026-01,TIKTOK,ENGAGEMENTS,232208
2026-01,TIKTOK,ENGAGEMENT_RATE,0.0943
2026-01,TIKTOK,TOP_POST_VIEWS,321520
2026-01,X,FOLLOWERS,21806
2026-01,X,FOLLOWER_GAIN,1444
2026-01,X,POSTS,51
2026-01,X,VIEWS,1136936
2026-01,X,ENGAGEMENTS,33833
2026-01,X,ENGAGEMENT_RATE,0.0281
2026-01,X,TOP_POST_VIEWS,558400
2026-01,YOUTUBE,FOLLOWERS,139000
2026-01,YOUTUBE,FOLLOWER_GAIN,3848
2026-01,YOUTUBE,POSTS,102
2026-01,YOUTUBE,VIEWS,1933641
2026-01,YOUTUBE,TOP_POST_VIEWS,149119
2025-12,INSTAGRAM,FOLLOWERS,93575
2025-12,INSTAGRAM,FOLLOWER_GAIN,2495
2025-12,INSTAGRAM,POSTS,45
2025-12,INSTAGRAM,VIEWS,6067589
2025-12,INSTAGRAM,TOP_POST_VIEWS,685622
2025-12,TIKTOK,FOLLOWERS,25699
2025-12,TIKTOK,FOLLOWER_GAIN,1402
2025-12,TIKTOK,POSTS,35
2025-12,TIKTOK,VIEWS,1935661
2025-12,TIKTOK,TOP_POST_VIEWS,369229
2025-12,X,FOLLOWERS,20259
2025-12,X,FOLLOWER_GAIN,206
2025-12,X,POSTS,35
2025-12,X,VIEWS,227097
2025-12,X,TOP_POST_VIEWS,1159
2025-11,INSTAGRAM,FOLLOWERS,91076
2025-11,INSTAGRAM,FOLLOWER_GAIN,3804
2025-11,INSTAGRAM,POSTS,46
2025-11,INSTAGRAM,VIEWS,14488842
2025-11,INSTAGRAM,TOP_POST_VIEWS,10563585
2025-11,TIKTOK,FOLLOWERS,24297
2025-11,TIKTOK,FOLLOWER_GAIN,2272
2025-11,TIKTOK,POSTS,29
2025-11,TIKTOK,VIEWS,3937370
2025-11,TIKTOK,TOP_POST_VIEWS,2412445
2025-11,X,FOLLOWERS,20177
2025-11,X,FOLLOWER_GAIN,231
2025-11,X,POSTS,36
2025-11,X,VIEWS,774867
2025-11,X,ENGAGEMENT_RATE,0.0160
2025-11,X,TOP_POST_VIEWS,364500
2025-10,INSTAGRAM,FOLLOWERS,87285
2025-10,INSTAGRAM,FOLLOWER_GAIN,1717
2025-10,INSTAGRAM,POSTS,40
2025-10,INSTAGRAM,VIEWS,3253832
2025-10,INSTAGRAM,TOP_POST_VIEWS,424907
2025-10,TIKTOK,FOLLOWERS,21941
2025-10,TIKTOK,FOLLOWER_GAIN,648
2025-10,TIKTOK,POSTS,39
2025-10,TIKTOK,VIEWS,514163
2025-10,TIKTOK,TOP_POST_VIEWS,138522
2025-10,X,FOLLOWERS,19946
2025-10,X,FOLLOWER_GAIN,112
2025-10,X,POSTS,42
2025-10,X,VIEWS,336926
2025-10,X,ENGAGEMENT_RATE,0.0083
2025-10,X,TOP_POST_VIEWS,83667
2025-09,INSTAGRAM,FOLLOWERS,85440
2025-09,INSTAGRAM,FOLLOWER_GAIN,1495
2025-09,INSTAGRAM,POSTS,25
2025-09,INSTAGRAM,VIEWS,3600005
2025-09,INSTAGRAM,TOP_POST_VIEWS,908071
2025-09,TIKTOK,FOLLOWERS,21259
2025-09,TIKTOK,FOLLOWER_GAIN,725
2025-09,TIKTOK,POSTS,23
2025-09,TIKTOK,VIEWS,562423
2025-09,TIKTOK,TOP_POST_VIEWS,93835
2025-09,X,FOLLOWERS,19894
2025-09,X,FOLLOWER_GAIN,63
2025-09,X,POSTS,31
2025-09,X,VIEWS,450107
2025-09,X,ENGAGEMENT_RATE,0.0110
2025-09,X,TOP_POST_VIEWS,21914
2025-08,INSTAGRAM,FOLLOWERS,N/A
2025-08,INSTAGRAM,FOLLOWER_GAIN,4633
2025-08,INSTAGRAM,POSTS,27
2025-08,INSTAGRAM,VIEWS,5527244
2025-08,INSTAGRAM,TOP_POST_VIEWS,2762382
2025-08,TIKTOK,FOLLOWERS,20640
2025-08,TIKTOK,FOLLOWER_GAIN,2930
2025-08,TIKTOK,POSTS,28
2025-08,TIKTOK,VIEWS,1878110
2025-08,TIKTOK,TOP_POST_VIEWS,738668
2025-08,X,FOLLOWERS,N/A
2025-08,X,FOLLOWER_GAIN,269
2025-08,X,POSTS,40
2025-08,X,VIEWS,351272
2025-08,X,ENGAGEMENT_RATE,0.0223
2025-08,X,TOP_POST_VIEWS,34049
2025-07,INSTAGRAM,FOLLOWERS,N/A
2025-07,INSTAGRAM,FOLLOWER_GAIN,2789
2025-07,INSTAGRAM,POSTS,41
2025-07,INSTAGRAM,VIEWS,4973683
2025-07,INSTAGRAM,TOP_POST_VIEWS,1878737
2025-07,TIKTOK,FOLLOWERS,17843
2025-07,TIKTOK,FOLLOWER_GAIN,1573
2025-07,TIKTOK,POSTS,42
2025-07,TIKTOK,VIEWS,1077471
2025-07,TIKTOK,TOP_POST_VIEWS,237394
2025-07,X,FOLLOWERS,N/A
2025-07,X,FOLLOWER_GAIN,298
2025-07,X,POSTS,46
2025-07,X,VIEWS,849708
2025-07,X,ENGAGEMENT_RATE,0.0093
2025-07,X,TOP_POST_VIEWS,372061
2025-06,INSTAGRAM,FOLLOWERS,N/A
2025-06,INSTAGRAM,FOLLOWER_GAIN,1447
2025-06,INSTAGRAM,POSTS,33
2025-06,INSTAGRAM,VIEWS,3976385
2025-06,INSTAGRAM,TOP_POST_VIEWS,2598656
2025-06,TIKTOK,FOLLOWERS,16385
2025-06,TIKTOK,FOLLOWER_GAIN,1561
2025-06,TIKTOK,POSTS,23
2025-06,TIKTOK,VIEWS,1386435
2025-06,TIKTOK,TOP_POST_VIEWS,569315
2025-06,X,FOLLOWERS,N/A
2025-06,X,FOLLOWER_GAIN,178
2025-06,X,POSTS,38
2025-06,X,VIEWS,1710453
2025-06,X,ENGAGEMENT_RATE,0.0124
2025-06,X,TOP_POST_VIEWS,1360249
2025-05,INSTAGRAM,FOLLOWERS,N/A
2025-05,INSTAGRAM,FOLLOWER_GAIN,N/A
2025-05,INSTAGRAM,POSTS,17
2025-05,INSTAGRAM,VIEWS,N/A
2025-05,INSTAGRAM,TOP_POST_VIEWS,390777
2025-05,TIKTOK,FOLLOWERS,14905
2025-05,TIKTOK,FOLLOWER_GAIN,665
2025-05,TIKTOK,POSTS,13
2025-05,TIKTOK,VIEWS,708243
2025-05,TIKTOK,TOP_POST_VIEWS,74755
2025-05,X,FOLLOWERS,N/A
2025-05,X,FOLLOWER_GAIN,130
2025-05,X,POSTS,15
2025-05,X,VIEWS,95687
2025-05,X,ENGAGEMENT_RATE,0.0126
2025-05,X,TOP_POST_VIEWS,27499
2025-04,INSTAGRAM,FOLLOWERS,N/A
2025-04,INSTAGRAM,FOLLOWER_GAIN,N/A
2025-04,INSTAGRAM,POSTS,12
2025-04,INSTAGRAM,VIEWS,N/A
2025-04,INSTAGRAM,TOP_POST_VIEWS,94660
2025-04,TIKTOK,FOLLOWERS,14309
2025-04,TIKTOK,FOLLOWER_GAIN,136
2025-04,TIKTOK,POSTS,6
2025-04,TIKTOK,VIEWS,116235
2025-04,TIKTOK,TOP_POST_VIEWS,516855
2025-04,X,FOLLOWERS,N/A
2025-04,X,FOLLOWER_GAIN,56
2025-04,X,POSTS,13
2025-04,X,VIEWS,61294
2025-04,X,ENGAGEMENT_RATE,0.0149
2025-04,X,TOP_POST_VIEWS,4473
2025-03,INSTAGRAM,FOLLOWERS,N/A
2025-03,INSTAGRAM,FOLLOWER_GAIN,N/A
2025-03,INSTAGRAM,POSTS,15
2025-03,INSTAGRAM,VIEWS,N/A
2025-03,INSTAGRAM,TOP_POST_VIEWS,926216
2025-03,TIKTOK,FOLLOWERS,14214
2025-03,TIKTOK,FOLLOWER_GAIN,563
2025-03,TIKTOK,POSTS,6
2025-03,TIKTOK,VIEWS,200756
2025-03,TIKTOK,TOP_POST_VIEWS,61399
2025-03,X,FOLLOWERS,N/A
2025-03,X,FOLLOWER_GAIN,982
2025-03,X,POSTS,13
2025-03,X,VIEWS,1418758
2025-03,X,ENGAGEMENT_RATE,0.0188
2025-03,X,TOP_POST_VIEWS,20174
2025-02,INSTAGRAM,FOLLOWERS,N/A
2025-02,INSTAGRAM,FOLLOWER_GAIN,N/A
2025-02,INSTAGRAM,POSTS,15
2025-02,INSTAGRAM,VIEWS,N/A
2025-02,INSTAGRAM,TOP_POST_VIEWS,500483
2025-02,TIKTOK,FOLLOWERS,13705
2025-02,TIKTOK,FOLLOWER_GAIN,787
2025-02,TIKTOK,POSTS,11
2025-02,TIKTOK,VIEWS,422799
2025-02,TIKTOK,TOP_POST_VIEWS,287341
2025-02,X,FOLLOWERS,N/A
2025-02,X,FOLLOWER_GAIN,422
2025-02,X,POSTS,19
2025-02,X,VIEWS,1254850
2025-02,X,ENGAGEMENT_RATE,0.0282
2025-02,X,TOP_POST_VIEWS,938120
2025-01,INSTAGRAM,FOLLOWERS,N/A
2025-01,INSTAGRAM,FOLLOWER_GAIN,N/A
2025-01,INSTAGRAM,POSTS,15
2025-01,INSTAGRAM,VIEWS,N/A
2025-01,INSTAGRAM,TOP_POST_VIEWS,N/A
2025-01,TIKTOK,FOLLOWERS,12969
2025-01,TIKTOK,FOLLOWER_GAIN,59
2025-01,TIKTOK,POSTS,9
2025-01,TIKTOK,VIEWS,29942
2025-01,TIKTOK,TOP_POST_VIEWS,8399
2025-01,X,FOLLOWERS,N/A
2025-01,X,FOLLOWER_GAIN,162
2025-01,X,POSTS,15
2025-01,X,VIEWS,165092
2025-01,X,ENGAGEMENT_RATE,0.0231
2025-01,X,TOP_POST_VIEWS,35336
2024-12,INSTAGRAM,FOLLOWERS,N/A
2024-12,INSTAGRAM,FOLLOWER_GAIN,N/A
2024-12,INSTAGRAM,POSTS,6
2024-12,INSTAGRAM,VIEWS,N/A
2024-12,INSTAGRAM,TOP_POST_VIEWS,N/A
2024-12,TIKTOK,FOLLOWERS,12952
2024-12,TIKTOK,FOLLOWER_GAIN,3
2024-12,TIKTOK,POSTS,0
2024-12,TIKTOK,VIEWS,2534
2024-12,TIKTOK,TOP_POST_VIEWS,N/A
2024-12,X,FOLLOWERS,N/A
2024-12,X,FOLLOWER_GAIN,46
2024-12,X,POSTS,7
2024-12,X,VIEWS,94531
2024-12,X,ENGAGEMENT_RATE,0.0174
2024-12,X,TOP_POST_VIEWS,27372
2024-11,INSTAGRAM,FOLLOWERS,N/A
2024-11,INSTAGRAM,FOLLOWER_GAIN,N/A
2024-11,INSTAGRAM,POSTS,12
2024-11,INSTAGRAM,VIEWS,N/A
2024-11,INSTAGRAM,TOP_POST_VIEWS,TBD
2024-11,TIKTOK,FOLLOWERS,12990
2024-11,TIKTOK,FOLLOWER_GAIN,2
2024-11,TIKTOK,POSTS,0
2024-11,TIKTOK,VIEWS,1953
2024-11,TIKTOK,TOP_POST_VIEWS,N/A
2024-11,X,FOLLOWERS,N/A
2024-11,X,FOLLOWER_GAIN,93
2024-11,X,POSTS,15
2024-11,X,VIEWS,184161
2024-11,X,ENGAGEMENT_RATE,0.0103
2024-11,X,TOP_POST_VIEWS,34252
2024-10,INSTAGRAM,POSTS,TBD
2024-10,INSTAGRAM,VIEWS,N/A
2024-10,INSTAGRAM,TOP_POST_VIEWS,TBD
2024-10,TIKTOK,FOLLOWERS,13029
2024-10,TIKTOK,FOLLOWER_GAIN,1
2024-10,TIKTOK,POSTS,0
2024-10,TIKTOK,VIEWS,2992
2024-10,TIKTOK,TOP_POST_VIEWS,N/A
2024-10,X,FOLLOWER_GAIN,54
2024-10,X,POSTS,5
2024-10,X,VIEWS,103264
2024-10,X,ENGAGEMENT_RATE,0.0100
2024-10,X,TOP_POST_VIEWS,132325
2024-09,INSTAGRAM,POSTS,TBD
2024-09,INSTAGRAM,VIEWS,N/A
2024-09,INSTAGRAM,TOP_POST_VIEWS,TBD
2024-09,TIKTOK,FOLLOWERS,N/A
2024-09,TIKTOK,FOLLOWER_GAIN,N/A
2024-09,TIKTOK,POSTS,4
2024-09,TIKTOK,VIEWS,N/A
2024-09,TIKTOK,TOP_POST_VIEWS,TBD
2024-09,X,FOLLOWER_GAIN,47
2024-09,X,POSTS,4
2024-09,X,VIEWS,41235
2024-09,X,ENGAGEMENT_RATE,0.0294
2024-09,X,TOP_POST_VIEWS,23808
2024-08,X,FOLLOWER_GAIN,49
2024-08,X,POSTS,16
2024-08,X,VIEWS,115449
2024-08,X,ENGAGEMENT_RATE,0.0107
2024-08,X,TOP_POST_VIEWS,42342
